ticker_symbol,company_name
AAPL,Apple Inc.
MSFT,Microsoft Corporation
NVDA,NVIDIA Corporation
AMZN,Amazon.com Inc.
GOOGL,Alphabet Inc.
META,Meta Platforms Inc.
TSLA,Tesla Inc.
NFLX,Netflix Inc.
AMD,Advanced Micro Devices
INTC,Intel Corporation
